"Date","Value","Macrobond_Code"
2023-04-01,45.6,"markit_3y_pmifrmanpm"
2023-05-01,45.7,"markit_3y_pmifrmanpm"
2023-06-01,46,"markit_3y_pmifrmanpm"
2023-07-01,45.1,"markit_3y_pmifrmanpm"
2023-08-01,46,"markit_3y_pmifrmanpm"
2023-09-01,44.2,"markit_3y_pmifrmanpm"
2023-10-01,42.8,"markit_3y_pmifrmanpm"
2023-11-01,42.9,"markit_3y_pmifrmanpm"
2023-12-01,42.1,"markit_3y_pmifrmanpm"
2024-01-01,43.1,"markit_3y_pmifrmanpm"
2024-02-01,47.1,"markit_3y_pmifrmanpm"
2024-03-01,46.2,"markit_3y_pmifrmanpm"
2024-04-01,45.3,"markit_3y_pmifrmanpm"
2024-05-01,46.4,"markit_3y_pmifrmanpm"
2024-06-01,45.4,"markit_3y_pmifrmanpm"
2024-07-01,44,"markit_3y_pmifrmanpm"
2024-08-01,43.9,"markit_3y_pmifrmanpm"
2024-09-01,44.6,"markit_3y_pmifrmanpm"
2024-10-01,44.5,"markit_3y_pmifrmanpm"
2024-11-01,43.1,"markit_3y_pmifrmanpm"
2024-12-01,41.9,"markit_3y_pmifrmanpm"
2025-01-01,45,"markit_3y_pmifrmanpm"
2025-02-01,45.8,"markit_3y_pmifrmanpm"
2025-03-01,48.5,"markit_3y_pmifrmanpm"
2025-04-01,48.7,"markit_3y_pmifrmanpm"
2025-05-01,49.8,"markit_3y_pmifrmanpm"
2025-06-01,48.1,"markit_3y_pmifrmanpm"
2025-07-01,48.2,"markit_3y_pmifrmanpm"
2025-08-01,50.4,"markit_3y_pmifrmanpm"
2025-09-01,48.2,"markit_3y_pmifrmanpm"
2025-10-01,48.8,"markit_3y_pmifrmanpm"
2025-11-01,47.8,"markit_3y_pmifrmanpm"
2022-11-01,48.4,"markit_3y_pmiitmanpm"
2022-12-01,48.5,"markit_3y_pmiitmanpm"
2023-01-01,50.4,"markit_3y_pmiitmanpm"
2023-02-01,52,"markit_3y_pmiitmanpm"
2023-03-01,51.1,"markit_3y_pmiitmanpm"
2023-04-01,46.8,"markit_3y_pmiitmanpm"
2023-05-01,45.9,"markit_3y_pmiitmanpm"
2023-06-01,43.8,"markit_3y_pmiitmanpm"
2023-07-01,44.5,"markit_3y_pmiitmanpm"
2023-08-01,45.4,"markit_3y_pmiitmanpm"
2023-09-01,46.8,"markit_3y_pmiitmanpm"
2023-10-01,44.9,"markit_3y_pmiitmanpm"
2023-11-01,44.4,"markit_3y_pmiitmanpm"
2023-12-01,45.3,"markit_3y_pmiitmanpm"
2024-01-01,48.5,"markit_3y_pmiitmanpm"
2024-02-01,48.7,"markit_3y_pmiitmanpm"
2024-03-01,50.4,"markit_3y_pmiitmanpm"
2024-04-01,47.3,"markit_3y_pmiitmanpm"
2024-05-01,45.6,"markit_3y_pmiitmanpm"
2024-06-01,45.7,"markit_3y_pmiitmanpm"
2024-07-01,47.4,"markit_3y_pmiitmanpm"
2024-08-01,49.4,"markit_3y_pmiitmanpm"
2024-09-01,48.3,"markit_3y_pmiitmanpm"
2024-10-01,46.9,"markit_3y_pmiitmanpm"
2024-11-01,44.5,"markit_3y_pmiitmanpm"
