date,description,count,Macrobond_Code
2019-04-01,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),160574,CAFSTA@TRANSPRT
2019-04-02,Canada: Airport Passengers Screened: Eight Largest Airports (Number),128820,CA8STA@TRANSPRT
2019-04-02,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),143737,CAFSTA@TRANSPRT
2019-04-03,Canada: Airport Passengers Screened: Eight Largest Airports (Number),136826,CA8STA@TRANSPRT
2019-04-03,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),151879,CAFSTA@TRANSPRT
2019-04-04,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147454,CA8STA@TRANSPRT
2019-04-04,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164399,CAFSTA@TRANSPRT
2019-04-05,Canada: Airport Passengers Screened: Eight Largest Airports (Number),156403,CA8STA@TRANSPRT
2019-04-05,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),174477,CAFSTA@TRANSPRT
2019-04-08,Canada: Airport Passengers Screened: Eight Largest Airports (Number),143383,CA8STA@TRANSPRT
2019-04-08,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),159260,CAFSTA@TRANSPRT
2019-04-09,Canada: Airport Passengers Screened: Eight Largest Airports (Number),132760,CA8STA@TRANSPRT
2019-04-09,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),147570,CAFSTA@TRANSPRT
2019-04-10,Canada: Airport Passengers Screened: Eight Largest Airports (Number),141658,CA8STA@TRANSPRT
2019-04-10,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),157149,CAFSTA@TRANSPRT
2019-04-11,Canada: Airport Passengers Screened: Eight Largest Airports (Number),148970,CA8STA@TRANSPRT
2019-04-11,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),166882,CAFSTA@TRANSPRT
2019-04-12,Canada: Airport Passengers Screened: Eight Largest Airports (Number),158422,CA8STA@TRANSPRT
2019-04-12,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),176388,CAFSTA@TRANSPRT
2019-04-15,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147759,CA8STA@TRANSPRT
2019-04-15,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164540,CAFSTA@TRANSPRT
2019-04-16,Canada: Airport Passengers Screened: Eight Largest Airports (Number),141200,CA8STA@TRANSPRT
2019-04-16,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),157528,CAFSTA@TRANSPRT
2019-04-17,Canada: Airport Passengers Screened: Eight Largest Airports (Number),156799,CA8STA@TRANSPRT
2019-04-17,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),174219,CAFSTA@TRANSPRT
2019-04-18,Canada: Airport Passengers Screened: Eight Largest Airports (Number),172489,CA8STA@TRANSPRT
2019-04-18,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),194013,CAFSTA@TRANSPRT
2019-04-19,Canada: Airport Passengers Screened: Eight Largest Airports (Number),161147,CA8STA@TRANSPRT
2019-04-19,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),179818,CAFSTA@TRANSPRT
2019-04-22,Canada: Airport Passengers Screened: Eight Largest Airports (Number),154021,CA8STA@TRANSPRT
2019-04-22,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),174181,CAFSTA@TRANSPRT
2019-04-23,Canada: Airport Passengers Screened: Eight Largest Airports (Number),144009,CA8STA@TRANSPRT
2019-04-23,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),161770,CAFSTA@TRANSPRT
2019-04-24,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147846,CA8STA@TRANSPRT
2019-04-24,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164477,CAFSTA@TRANSPRT
2019-04-25,Canada: Airport Passengers Screened: Eight Largest Airports (Number),153715,CA8STA@TRANSPRT
